1503227985,1503227981,register
1503228446,1503228441,register
1503228446,1503228441,[u'\u6587\u5b66/', u'\u519b\u4e8b/']

503286017,321443,login
1503324072,1503228441,logout
1503324077,321443,login
1503324113,321443,login
1503324151,321443,login
1503324192,321443,login
1503324258,321443,logout
1503324261,321443,login
1503324351,321443,login
1503324381,321443,login
1503324436,321443,login
1503324531,321443,login
1503324572,321443,login
1503324595,321443,login
1503324628,321443,login
1503324690,321443,login
1503324778,321443,logout
1503324780,321443,login
1503324830,321443,logout
1503324832,321443,login
1503324889,321443,logout
1503324890,321443,login
1503324912,321443,login
1503324965,321443,login
1503325005,321443,logout
1503325007,321443,login
1503382727,321443,logout
1503382732,321443,login
1503383019,321443,login
1503383300,321443,logout
1503383302,321443,login
1503383585,321443,logout
1503383587,321443,login
1503384633,321443,login
1503403473,321443,login
1504057497,1234,logout
1504057501,321443,login
1505961464,321443,login
1505962520,1505962496,register
1505962520,1505962496,[u'\u7535\u5f71/', u'\u6587\u5b66/']
1505987336,1505962496,logout
1506046980,1506046961,register
1506046980,1506046961,[u'\u519b\u4e8b/', u'\u6d77\u5916/']
1506047015,1506046961,logout
1506048549,321443,login
1506065482,321443,login
1506070038,321443,login
1506084447,321443,login
1506087919,321443,login
1506088459,321443,logout
1506258619,321443,login
1506306103,321443,login
1506312107,321443,login
1506321227,321443,login
1506329501,321443,login
1506332669,1506332663,register
1506332669,1506332663,[]
1506393226,321443,login
1506393349,321443,logout
